Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Roger McCreary,CB,TEN,98%,99%,100%,100%,100%,bye,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,100%,1165,1.00
Camryn Bynum,S,MIN,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1161,1.00
Quandre Diggs,S,SEA,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,100%,100%,100%,100%,1156,1.00
Foyesade Oluokun,LB,JAC,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,100%,100%,74%,100%,1145,0.98
Christian Kirksey,LB,HOU,100%,100%,100%,100%,84%,bye,100%,83%,88%,100%,100%,100%,100%,100%,99%,100%,100%,100%,1141,0.97
Kareem Jackson,S,DEN,100%,100%,100%,100%,100%,100%,98%,100%,bye,100%,100%,100%,100%,100%,100%,94%,100%,100%,1139,1.00
Kevin Byard,S,TEN,98%,76%,100%,100%,100%,bye,100%,100%,100%,100%,100%,100%,92%,100%,100%,100%,92%,100%,1139,0.98
Tyson Campbell,CB,JAC,100%,98%,100%,100%,97%,100%,100%,100%,100%,100%,bye,97%,100%,100%,99%,100%,74%,99%,1138,0.98
D.J. Reed Jr.,CB,NYJ,100%,100%,100%,100%,100%,100%,100%,100%,100%,bye,100%,100%,99%,100%,100%,99%,100%,100%,1136,1.00
Zaire Franklin,LB,IND,100%,100%,100%,100%,100%,100%,100%,100%,100%,96%,100%,100%,100%,bye,100%,100%,100%,98%,1134,1.00
Riq Woolen,CB,SEA,82%,96%,100%,95%,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,100%,100%,100%,95%,1134,0.98
Demario Davis,LB,NO,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,100%,1132,1.00
Jordan Whitehead,S,NYJ,98%,100%,99%,100%,93%,100%,100%,100%,100%,bye,100%,100%,100%,100%,100%,99%,100%,100%,1130,0.99
Tyrann Mathieu,S,NO,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,bye,99%,100%,100%,100%,1129,1.00
Jevon Holland,S,MIA,100%,100%,100%,98%,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,86%,100%,95%,100%,1129,0.99
Rayshawn Jenkins,S,JAC,100%,100%,100%,100%,100%,99%,97%,98%,80%,98%,bye,100%,100%,100%,99%,98%,74%,100%,1126,0.97
Nick Bolton,LB,KC,77%,96%,100%,100%,100%,100%,87%,bye,100%,100%,100%,100%,100%,100%,100%,100%,99%,100%,1119,0.97
Richie Grant,S,ATL,98%,100%,100%,100%,95%,100%,100%,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,100%,1117,1.00
Trevon Diggs,CB,DAL,100%,100%,92%,100%,100%,94%,95%,100%,bye,97%,88%,100%,100%,91%,100%,100%,100%,95%,1116,0.97
Sauce Gardner,CB,NYJ,100%,93%,100%,100%,100%,89%,100%,100%,100%,bye,100%,100%,100%,100%,100%,100%,100%,85%,1115,0.98
C.J. Mosley,LB,NYJ,100%,100%,100%,100%,100%,100%,100%,100%,85%,bye,100%,100%,100%,100%,100%,100%,92%,86%,1114,0.98
Justin Reid,S,KC,77%,100%,100%,91%,100%,99%,90%,bye,98%,100%,100%,100%,97%,99%,98%,100%,100%,100%,1113,0.97
L'Jarius Sneed,CB,KC,88%,100%,100%,100%,100%,100%,87%,bye,100%,100%,94%,91%,100%,100%,100%,100%,80%,100%,1107,0.96
Pat Surtain II,CB,DEN,100%,40%,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,100%,100%,100%,100%,100%,100%,1106,0.97
